Número de Pedido	ID del Cliente	Tipo de Compra	SKU	Categoría de Descuento	Ingresos	Unidades	Costo del Producto	Costo de Envio	Costo Empaque	Fecha de Pedido	Fecha de Envio	Fecha de Llegada	País	Ciudad
98094258	688783313	"Normal"	"CB01"	"Non"	222,03	1	7,99	4,99	3	1999-12-16 00:00:00.000	1999-12-17 00:00:00.000	2000-01-03 00:00:00.000	"Paraguay"	"Asunción"
98094223	476846252	"Normal"	"CB01"	"Non"	222,03	1	9,55	5,55	3	1999-12-27 00:00:00.000	1999-12-28 00:00:00.000	2000-01-13 00:00:00.000	"Uruguay"	"Montevideo"
98094101	579052388	"Normal"	"CB01"	"Non"	222,03	1	5,86	6,86	3	2000-02-01 00:00:00.000	2000-02-03 00:00:00.000	2000-02-21 00:00:00.000	"Paraguay"	"Asunción"
98094084	181452465	"Normal"	"CB01"	"Non"	222,03	1	5,73	5,73	3	2000-02-05 00:00:00.000	2000-02-07 00:00:00.000	2000-02-22 00:00:00.000	"Venezuela"	"Caracas"
98094072	347508755	"Normal"	"CB01"	"Non"	222,03	1	5,12	3,12	3	2000-02-07 00:00:00.000	2000-02-10 00:00:00.000	2000-02-26 00:00:00.000	"Venezuela"	"Caracas"
98093996	702980227	"Normal"	"CB01"	"Non"	222,03	1	9,45	5,45	3	2000-02-29 00:00:00.000	2000-03-03 00:00:00.000	2000-03-14 00:00:00.000	"Uruguay"	"Montevideo"
98093800	416232977	"Normal"	"CB01"	"Non"	222,03	1	8,99	6,99	3	2000-04-26 00:00:00.000	2000-04-27 00:00:00.000	2000-05-06 00:00:00.000	"Venezuela"	"Caracas"
98093701	367570195	"Normal"	"CB01"	"Non"	222,03	1	8,58	3,58	3	2000-05-27 00:00:00.000	2000-05-29 00:00:00.000	2000-06-10 00:00:00.000	"Ecuador"	"Quito"
98093683	448635016	"Normal"	"CB01"	"Non"	222,03	1	9,1	5,1	3	2000-06-02 00:00:00.000	2000-06-03 00:00:00.000	2000-06-18 00:00:00.000	"Argentina"	"Rosario"
98093644	705211779	"Normal"	"CB01"	"Non"	222,03	1	9,65	6,65	3	2000-06-11 00:00:00.000	2000-06-12 00:00:00.000	2000-06-26 00:00:00.000	"Colombia"	"Medellín"
98093634	327658904	"Normal"	"CB01"	"Non"	222,03	1	9,55	6,55	3	2000-06-12 00:00:00.000	2000-06-13 00:00:00.000	2000-06-22 00:00:00.000	"Ecuador"	"Quito"
